Character,Series,Release Date,Released?
Gino Weinberg,Code Geass: Lelouch of the Rebellion R2,"3/30/2022, 10:20 PM UTC",
Syaoran Li,Tsubasa Reservoir Chronicle: Tokyo Revelations,"3/30/2022, 10:30 PM UTC",
Leila,Vampire Hunter D: Bloodlust,"3/30/2022, 10:50 PM UTC",
Mari Ohara,Love Live! Sunshine!!,"3/30/2022, 11:00 PM UTC",
Cosmo,Sonic X,"3/30/2022, 11:10 PM UTC",
Saeko Busujima,Highschool of the Dead,"3/30/2022, 11:20 PM UTC",
Umi Sonoda,Love Live! School Idol Project,"3/30/2022, 11:30 PM UTC",
Chibiusa,Sailor Moon R,"3/30/2022, 11:40 PM UTC",
Cheese,Food Fantasy,"3/30/2022, 11:50 PM UTC",
Reiner Braun,Attack on Titan,"3/31/2022, 12:00 AM UTC",
Erika Furudo,Umineko: When They Cry,"3/31/2022, 12:10 AM UTC",
Violet Harrison,Epic Seven,"3/31/2022, 12:30 AM UTC",
Yamraiha,Magi: The Kingdom of Magic,"3/31/2022, 12:40 AM UTC",
Gérard de Villefort,Gankutsuou: The Count of Monte Cristo,"3/31/2022, 12:50 AM UTC",
Magical Girl Ore,Magical Girl Ore,"3/31/2022, 1:00 AM UTC",
Leonard Wright Jr.,HELIOS Rising Heroes,"3/31/2022, 1:10 AM UTC",
Kyubey,Puella Magi Madoka Magica,"3/31/2022, 1:20 AM UTC",
Shimoda,Heaven's Design Team,"3/31/2022, 1:30 AM UTC",
Siesta 410,Umineko: When They Cry,"3/31/2022, 1:40 AM UTC",
Vignette Tsukinose April,Gabriel Dropout,"3/31/2022, 1:50 AM UTC",
Caulifla,Dragon Ball Super,"3/31/2022, 2:00 AM UTC",
Yashiro Isana,K-Project,"3/31/2022, 2:10 AM UTC",
Ochako Uraraka,My Hero Academia,"3/31/2022, 2:20 AM UTC",
Rei Kizaki,Aikatsu Stars! Hoshi no Tsubasa,"3/31/2022, 2:40 AM UTC",
Van Gogh,Fate/Grand Order,"3/31/2022, 2:50 AM UTC",
Sailor Moon,Sailor Moon,"3/31/2022, 3:00 AM UTC",
Alan Sylvasta,Brand New Animal,"3/31/2022, 3:10 AM UTC",
The Captain,Hellsing Ultimate,"3/31/2022, 3:20 AM UTC",
Kazuichi Souda,Danganronpa 2: Goodbye Despair,"3/31/2022, 3:30 AM UTC",
Ryouta Watari,Your lie in April,"3/31/2022, 3:40 AM UTC",
Kotone Shirakawa,Overflow,"3/31/2022, 3:50 AM UTC",
Akira Mitsurugi,I-CHU: Halfway Through the Idol,"3/31/2022, 4:00 AM UTC",
Pegasus J. Crawford,Yu-Gi-Oh! Duel Monsters,"3/31/2022, 4:10 AM UTC",
Hiroto Shijima,Durarara!! X2,"3/31/2022, 4:20 AM UTC",
Chitose Ikeda,Yuru Yuri,"3/31/2022, 4:30 AM UTC",
Mung Bean Soup,Food Fantasy,"3/31/2022, 4:40 AM UTC",
Luluca,Epic Seven,"3/31/2022, 5:00 AM UTC",
Rei Amayado,Hypnosis Mic -Alternative Rap Battle-,"3/31/2022, 5:10 AM UTC",
Shizuka Nekonome,Rosario + Vampire,"3/31/2022, 5:30 AM UTC",
Shimada,Death Parade,"3/31/2022, 5:40 AM UTC",
Lancelot,Fate/Grand Order,"3/31/2022, 5:50 AM UTC",
Hokuto,Tsukimichi: Moonlit Fantasy,"3/31/2022, 6:00 AM UTC",
Osakabehime,Fate/Grand Order,"3/31/2022, 6:10 AM UTC",
Dororo,Dororo,"3/31/2022, 6:20 AM UTC",
Mio Hayasaki,Baku Ane: Otouto Shibocchau zo!,"3/31/2022, 6:30 AM UTC",
Heihachi Mishima,Tekken 1,"3/31/2022, 6:40 AM UTC",
Himemori Luna,Hololive: Holo no Graffiti,"3/31/2022, 6:50 AM UTC",
Yuna Tachiki,Those Snow White Notes,"3/31/2022, 7:10 AM UTC",
Aki Adagaki,Masamune-kun's Revenge,"3/31/2022, 7:20 AM UTC",
Frau,Peach Boy Riverside,"3/31/2022, 7:30 AM UTC",
Dark Magician Girl,Yu-Gi-Oh! Duel Monsters,"3/31/2022, 7:40 AM UTC",
Rihito Sajou,Doukyuusei,"3/31/2022, 7:50 AM UTC",
Yggdrasil,Granblue Fantasy the Animation,"3/31/2022, 8:00 AM UTC",
Hina,Busou Shinki: Armored War Goddess,"3/31/2022, 8:10 AM UTC",
Buddha,Saint Young Men Movie,"3/31/2022, 8:20 AM UTC",
Karin Nanase,In/Spectre,"3/31/2022, 8:30 AM UTC",
Lisa,Genshin Impact,"3/31/2022, 8:40 AM UTC",
Mugetsu,xxxHOLiC,"3/31/2022, 8:50 AM UTC",
Razor,Genshin Impact,"3/31/2022, 9:00 AM UTC",
Fodra Queen,Tales of Graces,"3/31/2022, 9:10 AM UTC",
Eriol Hiiragizawa,Cardcaptor Sakura,"3/31/2022, 9:30 AM UTC",
Bebe,Puella Magi Madoka Magica the Movie Part 3: Rebellion,"3/31/2022, 9:40 AM UTC",
Hinagiku Katsura,Hayate the Combat Butler!,"3/31/2022, 9:50 AM UTC",
Yuzuha,Conception,"3/31/2022, 10:00 AM UTC",
Riza Hawkeye,Fullmetal Alchemist,"3/31/2022, 10:10 AM UTC",
Naoya Mukai,"Girlfriend, Girlfriend","3/31/2022, 10:20 AM UTC",
Sariel,The Seven Heavenly Virtues,"3/31/2022, 10:30 AM UTC",
Rika Hoshizaki,"Girlfriend, Girlfriend","3/31/2022, 10:40 AM UTC",
Yuzuriha Nekoi,Tsubasa Reservoir Chronicle,"3/31/2022, 10:50 AM UTC",
Slyrak,DOTA: Dragon's Blood,"3/31/2022, 11:00 AM UTC",
Tamarinne,Epic Seven,"3/31/2022, 11:10 AM UTC",
Antarcticite,Land of the Lustrous,"3/31/2022, 11:20 AM UTC",
Shunsui Kyoraku,Bleach,"3/31/2022, 11:40 AM UTC",
Izumi Miyamura,Horimiya,"3/31/2022, 11:50 AM UTC",
Hei,Darker than Black,"3/31/2022, 12:00 PM UTC",
Kanon,Umineko: When They Cry,"3/31/2022, 12:10 PM UTC",
Reinhardtzar,Granblue Fantasy,"3/31/2022, 12:20 PM UTC",
Yuki Yoshino,Food Wars! Shokugeki no Souma,"3/31/2022, 12:30 PM UTC",
Totoro,My Neighbor Totoro,"3/31/2022, 12:40 PM UTC",
Soichiro Hague,Fire Force,"3/31/2022, 12:50 PM UTC",
Li Kohran,Sakura Wars TV,"3/31/2022, 1:00 PM UTC",
Eucliwood Hellscythe,Is this a Zombie? OVA,"3/31/2022, 1:10 PM UTC",
Yui Yamazato,Those Snow White Notes,"3/31/2022, 1:20 PM UTC",
Karma Akabane,Assassination Classroom,"3/31/2022, 1:30 PM UTC",
Futaba Sakura,Persona 5 the Animation,"3/31/2022, 1:40 PM UTC",
Ayame Sohma,Fruits Basket,"3/31/2022, 2:10 PM UTC",
Victorique de Blois,Gosick,"3/31/2022, 2:20 PM UTC",
China,Hetalia: Axis Powers,"3/31/2022, 2:30 PM UTC",
Lilele,Granblue Fantasy,"3/31/2022, 2:40 PM UTC",
Yasuho Hirose,JoJo's Bizarre Adventure: JoJolion,"3/31/2022, 2:50 PM UTC",
Erica Fontaine,Sakura Wars: Ecole de Paris,"3/31/2022, 3:00 PM UTC",
Tsunayoshi Sawada,REBORN!,"3/31/2022, 3:10 PM UTC",
Shoyo Hinata,Haikyuu!!,"3/31/2022, 3:20 PM UTC",
Shoutarou Tatewaki,Beautiful Bones: Sakurako's Investigation,"3/31/2022, 3:30 PM UTC",
John Brown,Ghost Hunt,"3/31/2022, 3:40 PM UTC",
Hiyori Iki,Noragami,"3/31/2022, 3:50 PM UTC",
Ares,Fire Emblem: Genealogy of the Holy War,"3/31/2022, 4:00 PM UTC",
Belenore the Brave,Amazing Stranger,"3/31/2022, 4:20 PM UTC",
Tooru Oikawa,Haikyuu!!,"3/31/2022, 4:30 PM UTC",
Rin Hoshizora,Love Live! School Idol Project,"3/31/2022, 4:40 PM UTC",
Alluka Zoldyck,Hunter x Hunter (2011),"3/31/2022, 4:50 PM UTC",
Ichiro Ogami,Sakura Wars TV,"3/31/2022, 5:00 PM UTC",
Jin Kuzuhara,Jouran: The Princess of Snow and Blood,"3/31/2022, 5:10 PM UTC",
Mahiru Shirota,Servamp,"3/31/2022, 5:20 PM UTC",
Watson Amelia,Hololive EN,"3/31/2022, 5:30 PM UTC",
Maki Harukawa,Danganronpa V3: Killing Harmony,"3/31/2022, 5:40 PM UTC",
Kurumu Kurono,Rosario + Vampire,"3/31/2022, 5:50 PM UTC",
MetalGreymon,Digimon Xros Wars,"3/31/2022, 6:00 PM UTC",
Cecile Croomy,Code Geass: Lelouch of the Rebellion,"3/31/2022, 6:10 PM UTC",
Bram,DOTA: Dragon's Blood,"3/31/2022, 6:30 PM UTC",
Jin,Granblue Fantasy,"3/31/2022, 6:40 PM UTC",
Seishirou Tsugumi,Nisekoi,"3/31/2022, 6:50 PM UTC",
Pet Shop,JoJo's Bizarre Adventure: Stardust Crusaders,"3/31/2022, 7:00 PM UTC",
Gilbert G.P. Guilford,Code Geass: Lelouch of the Rebellion,"3/31/2022, 7:10 PM UTC",
Red Skull,Marvel Disk Wars: The Avengers,"3/31/2022, 7:20 PM UTC",
Godzilla,Godzilla Singular Point,"3/31/2022, 7:30 PM UTC",
Koujaku,DRAMAtical Murder,"3/31/2022, 7:50 PM UTC",
Kiki,Kiki's Delivery Service,"3/31/2022, 8:00 PM UTC",
Rika,Mystic Messenger,"3/31/2022, 8:10 PM UTC",
Bulat,Akame ga Kill!,"3/31/2022, 8:20 PM UTC",
Inverse Origami,Date a Live,"3/31/2022, 8:30 PM UTC",
Inu-kun,"With a Dog AND a Cat, Every Day is Fun","3/31/2022, 8:50 PM UTC",
Thadeus,The Animatrix,"3/31/2022, 9:00 PM UTC",
Yusei Fudo,Yu-Gi-Oh! 5D's,"3/31/2022, 9:10 PM UTC",
Nina Einstein,Code Geass: Lelouch of the Rebellion,"3/31/2022, 9:20 PM UTC",
Shindler,takt op.Destiny,"3/31/2022, 9:30 PM UTC",
Cú Chulainn (Alter),Fate/Grand Order,"3/31/2022, 9:40 PM UTC",
Haruka,Senran Kagura: Portrait of Girls,"3/31/2022, 9:50 PM UTC",
Tail Red,Gonna be the Twin-Tail!!,"3/31/2022, 10:00 PM UTC",
Nezahualpilli,Granblue Fantasy,"3/31/2022, 10:10 PM UTC",
Nu,Hiragana Danshi,"3/31/2022, 10:20 PM UTC",
Hidemi Ohta,Great Teacher Onizuka,"3/31/2022, 10:30 PM UTC",
Ayato Amagiri,The Asterisk War,"3/31/2022, 10:40 PM UTC",
Rirumu,Wagamama Fairy: Mirumo de Pon!,"3/31/2022, 11:00 PM UTC",
Tanpopo,xxxHOLiC,"3/31/2022, 11:20 PM UTC",
Utena Tenjou,Revolutionary Girl Utena,"3/31/2022, 11:30 PM UTC",
Kolulu,Granblue Fantasy,"3/31/2022, 11:40 PM UTC",
Presea Combatir,Tales of Symphonia,"4/1/2022, 12:00 AM UTC",
Nicholas,Granblue Fantasy,"4/1/2022, 12:10 AM UTC",
Izuru Kamukura,Danganronpa 2: Goodbye Despair,"4/1/2022, 12:20 AM UTC",
Quin,Death Parade,"4/1/2022, 12:30 AM UTC",
Kyousuke Yaguchi,Yarichin Bitch-bu,"4/1/2022, 12:40 AM UTC",
Shion Sonozaki,When They Cry: Higurashi,"4/1/2022, 12:50 AM UTC",
Kanan Matsuura,Love Live! Sunshine!!,"4/1/2022, 1:00 AM UTC",
Faris Nyannyan,Steins;Gate,"4/1/2022, 1:30 AM UTC",
Soushi Miketsukami,Inu X Boku Secret Service,"4/1/2022, 1:40 AM UTC",
Halkara,I've Been Killing Slimes for 300 Years and Maxed Out My Level,"4/1/2022, 1:50 AM UTC",
Rikka Sera,TsukiPro the Animation,"4/1/2022, 2:00 AM UTC",
Nadeshiko Kagamihara,Laid-Back Camp,"4/1/2022, 2:10 AM UTC",
Oberon,Fate/Grand Order,"4/1/2022, 2:20 AM UTC",
Hunter License,Hunter x Hunter,"4/1/2022, 2:30 AM UTC",
Foie Gras,Food Fantasy,"4/1/2022, 2:40 AM UTC",
Keiko Yukimura,Yu Yu Hakusho,"4/1/2022, 2:50 AM UTC",
N,Pokémon: Black & White: Adventures in Unova,"4/1/2022, 3:00 AM UTC",
Circe,Fate/Grand Order,"4/1/2022, 3:10 AM UTC",
Hime Arikawa,Himegoto,"4/1/2022, 3:40 AM UTC",
Nekohime,And you thought there is never a girl online?,"4/1/2022, 3:50 AM UTC",
Dola,Nijisanji,"4/1/2022, 4:00 AM UTC",
Kyohei Kadota,Durarara!!,"4/1/2022, 4:10 AM UTC",
U-1146,Cells at Work!,"4/1/2022, 4:20 AM UTC",
Scathacha,Granblue Fantasy,"4/1/2022, 4:30 AM UTC",
Forever,JoJo's Bizarre Adventure: Stardust Crusaders,"4/1/2022, 4:40 AM UTC",
Yuya Sakaki,Yu-Gi-Oh! Arc-V,"4/1/2022, 4:50 AM UTC",
Kirin Toudou,The Asterisk War,"4/1/2022, 5:00 AM UTC",
Shido Itsuka,Date a Live,"4/1/2022, 5:10 AM UTC",
Houshou Takigawa,Ghost Hunt,"4/1/2022, 5:20 AM UTC",
Creed Graphite,Tales of Hearts,"4/1/2022, 5:50 AM UTC",
Riki Nendou,The Disastrous Life of Saiki K.,"4/1/2022, 6:00 AM UTC",
Mizuho Kanou,Strawberry Panic,"4/1/2022, 6:10 AM UTC",
Riko Suminoe,Kiss x Sis,"4/1/2022, 6:20 AM UTC",
Ogun Montgomery,Fire Force Season 2,"4/1/2022, 6:30 AM UTC",
Alucard,Hellsing,"4/1/2022, 6:40 AM UTC",
Kirito,Sword Art Online,"4/1/2022, 7:00 AM UTC",
Shigure Minazuki,NEKOPARA,"4/1/2022, 7:10 AM UTC",
Ataru Moroboshi,Urusei Yatsura,"4/1/2022, 7:20 AM UTC",
Hakuno Kishinami,Fate/Extra Last Encore,"4/1/2022, 7:30 AM UTC",
Yoko,The Animatrix,"4/1/2022, 7:40 AM UTC",
Red Stone of Aja,JoJo's Bizarre Adventure,"4/1/2022, 8:00 AM UTC",
Emilia,Re:ZERO -Starting Life in Another World-,"4/1/2022, 8:10 AM UTC",
Heinkel Wolfe,Hellsing Ultimate,"4/1/2022, 8:20 AM UTC",
Sophia Ascart,My Next Life as a Villainess: All Routes Lead to Doom!,"4/1/2022, 8:30 AM UTC",
Yamato Nikaidou,IDOLiSH7,"4/1/2022, 8:40 AM UTC",
Ralf Jones,T.N.K. III,"4/1/2022, 8:50 AM UTC",
Fou,Fate/Grand Order,"4/1/2022, 9:00 AM UTC",
Yui Hirasawa,K-On!,"4/1/2022, 9:10 AM UTC",
Celebi,Pokémon 4Ever,"4/1/2022, 9:20 AM UTC",
Nagara,Sonny Boy,"4/1/2022, 9:30 AM UTC",
Sayo Hikawa,BanG Dream!,"4/1/2022, 9:40 AM UTC",
Seofon,Granblue Fantasy,"4/1/2022, 9:50 AM UTC",
Shuuzou,Show by Rock!!,"4/1/2022, 10:00 AM UTC",
Nagisa Shiota,Assassination Classroom,"4/1/2022, 10:20 AM UTC",
Veronica,Fire Emblem Heroes,"4/1/2022, 10:30 AM UTC",
Mizuki Akabayashi,Durarara!! X2,"4/1/2022, 10:40 AM UTC",
Agil,Sword Art Online,"4/1/2022, 10:50 AM UTC",
Kiko Kayanuma,Darker than Black,"4/1/2022, 11:00 AM UTC",
Bukiko Kotobuki,Frame Arms Girl,"4/1/2022, 11:10 AM UTC",
Noah Kaiba,Yu-Gi-Oh! Duel Monsters,"4/1/2022, 11:20 AM UTC",
Kanata Shinkai,Ensemble Stars!,"4/1/2022, 11:30 AM UTC",
Yuyuko Tanaka,Revue Starlight Re LIVE,"4/1/2022, 11:40 AM UTC",
Edmond Dantès,Fate/Grand Order,"4/1/2022, 11:50 AM UTC",
Anri Sonohara,Durarara!!,"4/1/2022, 12:00 PM UTC",
Alice Nakiri,Food Wars! Shokugeki no Souma,"4/1/2022, 12:10 PM UTC",
Souichi Jounouchi,Kimi ni Todoke - From Me to You,"4/1/2022, 12:20 PM UTC",
Tail Yellow,Gonna be the Twin-Tail!!,"4/1/2022, 12:40 PM UTC",
Hikage Miyauchi,Non Non Biyori,"4/1/2022, 12:50 PM UTC",
Tetsurou Kuroo,Haikyuu!!,"4/1/2022, 1:00 PM UTC",
Mayuko Nise,High-Rise Invasion,"4/1/2022, 1:10 PM UTC",
Hisoka,Hunter x Hunter,"4/1/2022, 1:20 PM UTC",
Kaonashi,Spirited Away,"4/1/2022, 1:40 PM UTC",
Chitan,Show by Rock!!#,"4/1/2022, 1:50 PM UTC",
Frederica Greenhill,Legend of the Galactic Heroes,"4/1/2022, 2:00 PM UTC",
Mei Kusakabe,My Neighbor Totoro,"4/1/2022, 2:10 PM UTC",
Yoshino Koiwai,Masamune-kun's Revenge,"4/1/2022, 2:20 PM UTC",
Baotorda,Granblue Fantasy,"4/1/2022, 2:30 PM UTC",
Bellona Moune,Epic Seven,"4/1/2022, 2:50 PM UTC",
Mew,Mewkledreamy,"4/1/2022, 3:00 PM UTC",
Matsuri Mizusawa,Citrus,"4/1/2022, 3:10 PM UTC",
Juugo,Nanbaka,"4/1/2022, 3:20 PM UTC",
Anna Kushina,K-Project,"4/1/2022, 3:30 PM UTC",
Lobelia Carlini,Sakura Wars: Ecole de Paris,"4/1/2022, 3:40 PM UTC",
Marion Blythe,HELIOS Rising Heroes,"4/1/2022, 3:50 PM UTC",
Syaoran,Tsubasa Reservoir Chronicle,"4/1/2022, 4:00 PM UTC",
Tsukasa Suou,Ensemble Stars!,"4/1/2022, 4:10 PM UTC",
Pega,Doraemon: Nobita at the Birth of Japan,"4/1/2022, 4:20 PM UTC",
Karol Capel,Tales of Vesperia,"4/1/2022, 4:30 PM UTC",
Cornelia Li Britannia,Code Geass: Lelouch of the Rebellion,"4/1/2022, 4:40 PM UTC",
Nanako Tenjou,Devils' Line,"4/1/2022, 5:10 PM UTC",
Yggdrasill,Tales of Symphonia,"4/1/2022, 5:20 PM UTC",
Shota Kazehaya,Kimi ni Todoke - From Me to You,"4/1/2022, 5:30 PM UTC",
Kama,Fate/Grand Order,"4/1/2022, 5:40 PM UTC",
Kaoru Sakurayashiki,SK8 the Infinity,"4/1/2022, 5:50 PM UTC",
Tyki Mikk,D.Gray-man,"4/1/2022, 6:00 PM UTC",
Dedue Molinaro,Fire Emblem: Three Houses,"4/1/2022, 6:10 PM UTC",
Richard,Tales of Graces,"4/1/2022, 6:20 PM UTC",
Attack Titan,Attack on Titan,"4/1/2022, 6:30 PM UTC",
Cal's Pocket Watch,Phantom: Requiem for the Phantom,"4/1/2022, 6:40 PM UTC",
Feower,Granblue Fantasy,"4/1/2022, 6:50 PM UTC",
Zashiki Warashi,Mononoke,"4/1/2022, 7:00 PM UTC",
Mosco Versa-0,Edens Zero,"4/1/2022, 7:20 PM UTC",
Bronya Zaychik,Honkai Impact 3rd,"4/1/2022, 7:40 PM UTC",
Sakura,Fire Emblem Fates,"4/1/2022, 7:50 PM UTC",
Nene Odagiri,Yamada-kun and the Seven Witches,"4/1/2022, 8:00 PM UTC",
Oota,Tanaka-kun is Always Listless,"4/1/2022, 8:10 PM UTC",
Xenovia Quarta,High School DxD NEW,"4/1/2022, 8:20 PM UTC",
Ange Katrina,Nijisanji,"4/1/2022, 8:30 PM UTC",
Aika Sakuranomiya,Blend S,"4/1/2022, 8:40 PM UTC",
Mereoleona Vermillion,Black Clover,"4/1/2022, 8:50 PM UTC",
Forrest,Fire Emblem Fates,"4/1/2022, 9:00 PM UTC",
Renji Abarai,Bleach,"4/1/2022, 9:10 PM UTC",
Diane,The Seven Deadly Sins,"4/1/2022, 9:40 PM UTC",
Jeanne,Bayonetta: Bloody Fate,"4/1/2022, 9:50 PM UTC",
Bakkun,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,"4/1/2022, 10:00 PM UTC",
Niles,Fire Emblem Fates,"4/1/2022, 10:10 PM UTC",
Maki Zenin,Jujutsu Kaisen,"4/1/2022, 10:20 PM UTC",
Kuromu,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.","4/1/2022, 10:30 PM UTC",
Avicebron,Fate/Apocrypha,"4/1/2022, 10:40 PM UTC",
Hana Uzaki,Uzaki-chan Wants to Hang Out!,"4/1/2022, 10:50 PM UTC",
Sagamiya Konro,Fire Force,"4/1/2022, 11:00 PM UTC",
Homura Akemi,Puella Magi Madoka Magica,"4/1/2022, 11:10 PM UTC",
Xingqiu,Genshin Impact,"4/1/2022, 11:50 PM UTC",
Veldora Tempest,That Time I Got Reincarnated as a Slime,"4/2/2022, 12:10 AM UTC",
Tails,Sonic X,"4/2/2022, 12:20 AM UTC",
Ursula Callistis,Little Witch Academia,"4/2/2022, 12:30 AM UTC",
Yuni Bianchi,DREAM!ing,"4/2/2022, 12:40 AM UTC",
Tristan,Fate/Grand Order,"4/2/2022, 12:50 AM UTC",
Hibari Uekusa,White Blue,"4/2/2022, 1:00 AM UTC",
WarGreymon,Digimon Adventure,"4/2/2022, 1:10 AM UTC",
Hibiki Kimiya,A Destructive God Sits Next to Me,"4/2/2022, 1:20 AM UTC",
Hajime Kunihiro,Saki,"4/2/2022, 1:30 AM UTC",
Altena,Fire Emblem: Genealogy of the Holy War,"4/2/2022, 1:40 AM UTC",
Ritsuka Fujimaru,Fate/Grand Order,"4/2/2022, 1:50 AM UTC",
Retoree,Show by Rock!!,"4/2/2022, 2:10 AM UTC",
Kyo Kusanagi,The King of Fighters '94,"4/2/2022, 2:20 AM UTC",
Hungary,Hetalia: Axis Powers,"4/2/2022, 2:30 AM UTC",
Yamagata,Akira,"4/2/2022, 2:40 AM UTC",
Akira Yukishiro,Revue Starlight Re LIVE,"4/2/2022, 2:50 AM UTC",
Blanca,Banana Fish,"4/2/2022, 3:00 AM UTC",
Alexandrite,Land of the Lustrous,"4/2/2022, 3:10 AM UTC",
Takumi Usui,Kaichou wa Maid-sama!,"4/2/2022, 3:30 AM UTC",
Anna,Fire Emblem Heroes,"4/2/2022, 3:40 AM UTC",
Anna Schneider,takt op.Destiny,"4/2/2022, 3:50 AM UTC",
Annerose von Grünewald,Legend of the Galactic Heroes,"4/2/2022, 4:00 AM UTC",
Kohaku,Tsukihime,"4/2/2022, 4:20 AM UTC",
Okuyasu Nijimura,JoJo's Bizarre Adventure: Diamond Is Unbreakable,"4/2/2022, 4:30 AM UTC",
Korwa,Granblue Fantasy,"4/2/2022, 4:40 AM UTC",
Hassan of the Cursed Arm,Fate/stay night,"4/2/2022, 4:50 AM UTC",
Kira,Koi to Producer: EVOL×LOVE,"4/2/2022, 5:00 AM UTC",
Kanon Matsubara,BanG Dream!,"4/2/2022, 5:10 AM UTC",
Panda,Jujutsu Kaisen,"4/2/2022, 5:20 AM UTC",
Hifumi Izanami,Hypnosis Mic: Division Rap Battle - Rhyme Anima,"4/2/2022, 5:30 AM UTC",
Loid Forger,Spy x Family,"4/2/2022, 5:40 AM UTC",
Goblin Slayer,Goblin Slayer,"4/2/2022, 5:50 AM UTC",
Shion Karanomori,Psycho-Pass,"4/2/2022, 6:00 AM UTC",
Aqua,KonoSuba: God's blessing on this wonderful world!,"4/2/2022, 6:10 AM UTC",
Ami Mizuno,Sailor Moon,"4/2/2022, 6:20 AM UTC",
Maki Oze,Fire Force,"4/2/2022, 6:40 AM UTC",
Yuuto Kiba,High School DxD,"4/2/2022, 6:50 AM UTC",
Yukina Himeragi,Strike the Blood,"4/2/2022, 7:00 AM UTC",
Battler Ushiromiya,Umineko: When They Cry,"4/2/2022, 7:10 AM UTC",
Jolyne Cujoh,JoJo's Bizarre Adventure: Stone Ocean,"4/2/2022, 7:30 AM UTC",
Omegamon,Digimon Savers,"4/2/2022, 7:40 AM UTC",
Yujiro Hanma,Baki the Grappler,"4/2/2022, 7:50 AM UTC",
Happy,Fairy Tail,"4/2/2022, 8:00 AM UTC",
Vil Schoenheit,Twisted Wonderland,"4/2/2022, 8:10 AM UTC",
Mamoru Fujimura,TsukiPro the Animation,"4/2/2022, 8:20 AM UTC",
Luna Aegis,Closers,"4/2/2022, 8:30 AM UTC",
Fumi Yumeoji,Revue Starlight Re LIVE,"4/2/2022, 8:40 AM UTC",
Lily Hoshina,B: The Beginning,"4/2/2022, 9:00 AM UTC",
You Watanabe,Love Live! Sunshine!!,"4/2/2022, 9:10 AM UTC",
Iris Canary,Violet Evergarden,"4/2/2022, 9:20 AM UTC",
Haydee,Gankutsuou: The Count of Monte Cristo,"4/2/2022, 9:30 AM UTC",
Chii,Tsubasa Reservoir Chronicle 2nd Season,"4/2/2022, 9:40 AM UTC",
Kaori Sakuragi,Strawberry Panic,"4/2/2022, 9:50 AM UTC",
Jeanne,The Case Study of Vanitas,"4/2/2022, 10:00 AM UTC",
Kokoro-chan,Magical Girl Ore,"4/2/2022, 10:10 AM UTC",
Goku,Dragon Ball Z,"4/2/2022, 10:20 AM UTC",
Lia,Konosuba: Fantastic Days!,"4/2/2022, 10:30 AM UTC",
MAICA,BLACKSTAR -Theater Starless-,"4/2/2022, 10:40 AM UTC",
GUI,BLACKSTAR -Theater Starless-,"4/2/2022, 11:10 AM UTC",
Saori Mizuno,Tsuki ga Kirei,"4/2/2022, 11:20 AM UTC",
Koichi Shido,Highschool of the Dead,"4/2/2022, 11:30 AM UTC",
Ryuu Yamada,Yamada-kun and the Seven Witches,"4/2/2022, 11:40 AM UTC",
Miria Harvent,Baccano!,"4/2/2022, 11:50 AM UTC",
Tokiwa Anzai,Mewkledreamy,"4/2/2022, 12:00 PM UTC",
Leonardo Watch,Blood Blockade Battlefront,"4/2/2022, 12:10 PM UTC",
Momotani Mashiro,Baku Ane 2: Otouto Ippai Shibocchau zo!,"4/2/2022, 12:20 PM UTC",
Nico,Nanbaka,"4/2/2022, 12:30 PM UTC",
Boy,Eve – We're Still Underground,"4/2/2022, 12:40 PM UTC",
Marta Lualdi,Tales of Symphonia: Dawn of the New World,"4/2/2022, 12:50 PM UTC",
Arulumaya,Granblue Fantasy,"4/2/2022, 1:00 PM UTC",
Liu Min,Link Click,"4/2/2022, 1:10 PM UTC",
Ram,Re:ZERO -Starting Life in Another World-,"4/2/2022, 1:30 PM UTC",
Cordelia Gallo,Gosick,"4/2/2022, 1:40 PM UTC",
Shanks,One Piece,"4/2/2022, 1:50 PM UTC",
Nozomi Toujou,Love Live! School Idol Project,"4/2/2022, 2:00 PM UTC",
Kanon Kougami,Battle Girl High School,"4/2/2022, 2:20 PM UTC",
Percival,Strawberry Panic,"4/2/2022, 2:30 PM UTC",
Eizen,Tales of Berseria,"4/2/2022, 2:50 PM UTC",
Man,Angel's Egg,"4/2/2022, 3:00 PM UTC",
Ryuji Sakamoto,Persona 5 the Animation,"4/2/2022, 3:10 PM UTC",
Momo Yaoyorozu,My Hero Academia,"4/2/2022, 3:20 PM UTC",
Junichirou Tanizaki,Bungou Stray Dogs,"4/2/2022, 3:40 PM UTC",
Hikari Sakishima,Nagi no Asukara,"4/2/2022, 3:50 PM UTC",
Laura Sakuraba,Aikatsu Stars!,"4/2/2022, 4:10 PM UTC",
Subaru Akehoshi,Ensemble Stars!,"4/2/2022, 4:20 PM UTC",
Masumi Sera,Detective Conan,"4/2/2022, 4:30 PM UTC",
Yukari Hayasaka,Paradise Kiss,"4/2/2022, 4:40 PM UTC",
Taichi Narata,Opera Girl!,"4/2/2022, 4:50 PM UTC",
Scheherazade,Fate/Grand Order,"4/2/2022, 5:00 PM UTC",
Rui,Demon Slayer: Kimetsu no Yaiba,"4/2/2022, 5:10 PM UTC",
Mary Saotome,Kakegurui,"4/2/2022, 5:20 PM UTC",
Fujino Asagami,Kara no Kyoukai 3: Tsuukaku Zanryuu,"4/2/2022, 5:30 PM UTC",
